"You understand and agree that the content of this document reflects order(s) placed / transaction(s) executed by you, and is solely provided for your own general information. This document does not constitute any financial, investment, legal, tax or any other advice. This document is available to you on an 'as-is' basis only, and Crypto.com is not liable for your amendment(s) to this document after export."
"Export contains maximum 65,000 data, older data after the limit will be excluded. Please review the records and adjust date range to export again to capture any additional data."
Export Date: 2025-10-31T10:23:25.471869Z[UTC]
Order ID,Time (UTC),Pair,Order Type,Side,Order Amount,Average Price,Deal Volume,Total,Trigger Condition,Status
5755600473179027712,2025-10-04 02:05:22.855,USDT_USD,MARKET,BUY,5000.0,1.00000,5000.0,5004.55000,0.00000,FILLED
5755600473178845218,2025-10-04 02:02:28.360,USDT_USD,LIMIT,BUY,10000.0,1.00000,10000.0,10009.10000,0.00000,FILLED
5755600473123177918,2025-10-03 16:22:51.395,BTC_USD,MARKET,SELL,0.09474,123476.95,0.09474,11698.21,0.00,FILLED
5755600473121479019,2025-10-03 16:12:30.501,NEAR_USD,LIMIT,SELL,322.6,3.0377,322.6,979.9620,0.0000,FILLED
5755600473121165655,2025-10-03 16:10:47.869,NEAR_USD,LIMIT,SELL,322.6,0,0.0,0.0000,0.0000,CANCELED
5755600473078164674,2025-10-03 08:21:00.761,BONK_USD,LIMIT,SELL,500000000,0.000000000,500000000,10450.000000000,0.000000000,FILLED
5755600473078071292,2025-10-03 08:20:07.895,BONK_USD,MARKET,BUY,500000000,0.000020000,500000000,9958.241380000,0.000000000,FILLED
5755600472935327900,2025-10-02 04:03:27.094,BTC_USD,LIMIT,SELL,0.10000,121000.00,0.10000,12100.00,0.00,FILLED
5755600472924377490,2025-10-02 01:53:09.110,APT_USD,MARKET,SELL,217.83,4.8877,217.83,1064.6893,0.0000,FILLED
5755600472757682797,2025-09-30 15:15:06.160,ETH_USD,LIMIT,SELL,5.0000,4529.00,5.0000,22645.00,0.00,FILLED
5755600472757525699,2025-09-30 15:13:27.843,ETH_USD,MARKET,BUY,5.0000,4124.86,5.0000,20624.30,0.00,FILLED
5755600472708531051,2025-09-30 04:49:20.777,LDO_USD,LIMIT,SELL,15926.6,1.2800,15926.6,20386.0480,0.0000,FILLED
5755600471815566974,2025-09-22 14:13:50.710,BTC_USD,LIMIT,SELL,0.26000,115000.00,0.26000,29900.00,0.00,FILLED
5755600471815437715,2025-09-22 14:12:42.459,BTC_USD,LIMIT,BUY,0.13230,113312.01,0.13230,14991.18,0.00,FILLED
5755600471815348867,2025-09-22 14:11:47.725,BTC_USD,MARKET,BUY,0.13232,113342.66,0.13232,14997.50,0.00,FILLED
5755600471778064117,2025-09-22 07:48:34.512,NEAR_USD,LIMIT,BUY,7092.1,2.8200,323.0,910.8600,0.0000,CANCELED
5755600470956011013,2025-09-22 02:38:29.000,ADA_USD,LIMIT,SELL,11783.1,0.84863,11783.1,9999.49215,0.84863,FILLED
5755600471081111066,2025-09-22 02:32:27.000,ETH_USD,LIMIT,SELL,2.2164,4269.84,2.2164,9463.67,4269.00,FILLED
5755600471670061509,2025-09-22 02:32:06.000,LDO_USD,LIMIT,SELL,15926.6,0,0.0,0.0000,1.1900,REJECTED
5755600471669954167,2025-09-21 09:26:26.348,LDO_USD,LIMIT,SELL,15926.6,0,0.0,0.0000,0.0000,CANCELED
5755600471669865231,2025-09-21 09:25:41.130,LDO_USD,LIMIT,BUY,15945.1,1.2538,15945.1,19992.4448,0.0000,FILLED
5755600471344288395,2025-09-17 22:08:32.982,LDO_USD,LIMIT,SELL,2193.9,1.2911,2193.9,2832.5443,0.0000,FILLED
5755600470942019314,2025-09-17 16:14:08.001,TON_USD,LIMIT,SELL,3449.00,3.0800,3449.00,10622.9200,3.0800,FILLED
5755600471081163063,2025-09-15 13:48:51.048,ETH_USD,LIMIT,SELL,2.2164,0,0.0000,0.00,0.00,CANCELED
5755600471080830438,2025-09-15 13:46:30.285,ETH_USD,LIMIT,BUY,2.2167,4510.97,2.2167,9999.48,0.00,FILLED
5755600470943900816,2025-09-15 08:02:04.000,ALGO_USDT,LIMIT,SELL,42000,0.23470,42000,9857.40000,0.23470,FILLED
5755600470956057712,2025-09-14 13:37:15.521,ADA_USD,LIMIT,SELL,11783.1,0,0.0,0.00000,0.00000,CANCELED
5755600470952271146,2025-09-14 12:54:46.907,ADA_USD,LIMIT,BUY,11235.9,0.89100,11235.9,10011.18690,0.00000,FILLED
5755600470943935335,2025-09-14 11:20:57.754,ALGO_USDT,LIMIT,SELL,42000,0,0,0.00000,0.00000,CANCELED
